Case ID,Mission,Payload,Range,Endurance,Cruise Speed,Takeoff,Landing,Environment,Pipeline Status,Final Status,Failed Stage,Failure Category,Failure Reason,Iterations,Converged,Verification Status,Final MTOW,Wing Area,Wing Span,Aspect Ratio,Root Chord,Tip Chord,Taper Ratio,Selected Configuration,Selected Motor,Selected Propeller,Battery,Static Margin,Performance Status,Warnings,Execution Time
3043,AGRICULTURE,4.35,207.7,133.9,149.9,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (207.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.8075,2.461,7.5,0.3281,0.3281,1.0,Low Wing / Conventional,T-Motor U8 Lite,22x12 APC,,,,,3.6519
3044,TRAINING,2.31,73.4,78.1,105.1,CATAPULT,PARACHUTE,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,VERIFICATION,INTERNAL_ERROR,Design compliance score (76.0%) is below the minimum required safety compliance boundary (85.0%).,4,False,N/A,7.2139999999999995,0.5348,2.3125,10.0,0.3426,0.1199,0.35,High Wing / Conventional,T-Motor AT3520,11x7 APC,1.232 kg,0.39,SATISFIED,,15191.5183
3045,DISASTER_RESPONSE,3.11,197.8,109.1,160.9,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (197.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.5773,2.4621,10.5,0.3126,0.1563,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,,,,,3.0011
3046,TRAINING,1.5,48.9,61.4,91.4,RUNWAY,RUNWAY,RURAL,SUCCESS,SUCCESS,SUCCESS,,,6,True,INCONSISTENT,8.987999999999998,0.6669,2.5824,10.0,0.3826,0.1339,0.35,High Wing / Conventional,T-Motor AT3520,11x7 APC,1.232 kg,0.395,MISSED,,26419.3286
3047,INSPECTION,1.32,129.9,115.2,68.6,CATAPULT,PARACHUTE,FOREST,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.18 m) exceeds wing root chord (0.16 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.245,1.98,16.0,0.1576,0.0,0.0,High Wing / Twin Boom,,,,,,,4.155
3048,MAPPING,0.5,77.1,228.1,50.2,HAND_LAUNCH,BELLY_LANDING,RURAL,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,PERFORMANCE_SIZING,PERFORMANCE_INFEASIBLE,"Cruise speed (50.2 kmh) is below the minimum safe cruise speed boundary (92.0 kmh, representing a 20.0% safety margin above clean stall).",0,False,N/A,3.734,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,SunnySky X2216,11x7 APC,1.383 kg,0.516,,,4.1741
3049,MAPPING,1.03,68.3,221.7,61.0,CATAPULT,BELLY_LANDING,RURAL,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,PERFORMANCE_SIZING,PERFORMANCE_INFEASIBLE,"Cruise speed (61.0 kmh) is below the minimum safe cruise speed boundary (80.3 kmh, representing a 20.0% safety margin above clean stall).",0,False,N/A,4.992,0.1912,1.4169,10.5,0.1799,0.09,0.5,High Wing / Conventional,SunnySky X2216,15x10 APC,2.053 kg,0.384,,,3.6276
3050,SECURITY,13.62,92.7,164.3,81.8,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.57 m) exceeds wing root chord (0.51 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,2.5283,6.3603,16.0,0.5061,0.0,0.0,High Wing / Conventional,,,,,,,3.5687
3051,RESEARCH,0.58,121.1,153.7,76.2,CATAPULT,PARACHUTE,FOREST,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 0.61 kg.",0,False,N/A,,0.1114,1.0286,9.5,0.1444,0.0722,0.5,High Wing / Conventional,,,,,,,13.0176
3052,SURVEY,2.95,212.0,83.3,157.6,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (212.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.5476,2.3979,10.5,0.3045,0.1522,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,,,,,6.3223
3053,DISASTER_RESPONSE,0.46,141.8,95.4,140.0,HAND_LAUNCH,NET_RECOVERY,MARINE,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.48 kg.",0,False,N/A,,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,,,,,,,2.3752
3054,DELIVERY,1.45,143.2,140.1,133.2,HAND_LAUNCH,PARACHUTE,MARINE,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Cargo' in database weighs 2.00 kg, which exceeds the maximum allowed structural payload limit of 1.52 kg.",0,False,N/A,,0.2692,1.4857,8.2,0.2416,0.1208,0.5,High Wing / Conventional,,,,,,,2.795
3055,MILITARY,0.99,97.9,173.1,53.5,CATAPULT,BELLY_LANDING,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.15 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1838,1.7148,16.0,0.1365,0.0,0.0,High Wing / Twin Boom,,,,,,,3.1997
3056,DELIVERY,18.18,42.9,36.2,82.7,RUNWAY,RUNWAY,RURAL,PROPULSION_INFEASIBLE,PROPULSION_INFEASIBLE,PROPULSION_SIZING,PROPULSION_INFEASIBLE,Selected motor maximum power (4101.4 W) is insufficient to sustain the power required during steady rate of climb (4122.9 W).,0,False,N/A,,3.3748,5.2606,8.2,0.8554,0.4277,0.5,High Wing / Conventional,,,,,,,5.9064
3057,CUSTOM,0.54,136.2,234.8,69.2,HAND_LAUNCH,BELLY_LANDING,FOREST,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (136.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,SunnySky X2216,11x7 APC,,,,,2.6774
3058,SECURITY,16.72,11.0,31.8,61.1,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.63 m) exceeds wing root chord (0.56 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,3.1038,7.047,16.0,0.5608,0.0,0.0,High Wing / Conventional,,,,,,,3.7186
3059,RESEARCH,1.96,57.1,64.2,109.6,CATAPULT,RUNWAY,MOUNTAIN,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.,0,False,N/A,7.076,0.3638,1.8592,9.5,0.2609,0.1305,0.5,High Wing / Conventional,T-Motor MN5008,18x10 APC,1.634 kg,0.615,SATISFIED,,3637.0084
3060,SURVEY,2.83,71.9,81.6,99.4,CATAPULT,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,7.491,0.5253,2.3486,10.5,0.2982,0.1491,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,2.496 kg,0.236,SATISFIED,,3491.3953
3061,TRAINING,2.0,482.1,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (482.1 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.9498
3062,MILITARY,7.08,64.8,121.7,70.9,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.41 m) exceeds wing root chord (0.36 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,1.3143,4.5857,16.0,0.3649,0.0,0.0,High Wing / Conventional,,,,,,,3.662
3063,SURVEY,3.4,209.8,72.1,181.8,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (209.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.6312,2.5743,10.5,0.3269,0.1635,0.5,High Wing / Conventional,T-Motor AT3520,22x12 APC,,,,,3.9212
3064,DELIVERY,0.58,63.6,163.5,58.2,CATAPULT,PARACHUTE,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Cargo' in database weighs 2.00 kg, which exceeds the maximum allowed structural payload limit of 0.61 kg.",0,False,N/A,,0.1114,0.9557,8.2,0.1554,0.0777,0.5,High Wing / Conventional,,,,,,,2.4022
3065,DISASTER_RESPONSE,0.27,117.9,156.0,69.1,CATAPULT,PARACHUTE,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.28 kg.",0,False,N/A,,0.1114,1.0814,10.5,0.1373,0.0687,0.5,High Wing / Conventional,,,,,,,2.1987
3066,CUSTOM,5.3,143.8,141.0,92.5,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (143.80 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.9839,3.2141,10.5,0.4081,0.2041,0.5,High Wing / Conventional,T-Motor AT4120,22x12 APC,,,,,4.3644
3067,MILITARY,0.54,220.5,132.2,130.0,CATAPULT,NET_RECOVERY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.12 m) exceeds wing root chord (0.11 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1114,1.3349,16.0,0.1062,0.0,0.0,High Wing / Twin Boom,,,,,,,3.0767
3068,SURVEY,1.7,182.0,130.3,120.6,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (182.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.3156,1.8203,10.5,0.2312,0.1156,0.5,High Wing / Conventional,SunnySky X2216,18x10 APC,,,,,6.36
3069,DISASTER_RESPONSE,8.49,61.3,129.0,99.6,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,21.561000000000003,1.576,4.068,10.5,0.5166,0.2583,0.5,High Wing / Conventional,KDE Direct 7215XF,22x12 APC,11.057 kg,0.18,SATISFIED,,3551.4308
3070,RESEARCH,16.65,19.9,41.7,79.9,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,PROPULSION_POWER_LIMIT: Sized power target of 4655.2 W exceeds maximum catalog motor power limit of 3400.0 W.,0,False,N/A,,3.0908,5.4187,9.5,0.7605,0.3803,0.5,High Wing / Conventional,,,,,,,2.9676
3071,SECURITY,0.71,184.1,129.3,126.9,HAND_LAUNCH,PARACHUTE,MARINE,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.13 m) exceeds wing root chord (0.12 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1318,1.4522,16.0,0.1156,0.0,0.0,High Wing / Twin Boom,,,,,,,3.9222
3072,RESEARCH,19.83,16.6,31.7,79.5,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,PROPULSION_POWER_LIMIT: Sized power target of 5544.3 W exceeds maximum catalog motor power limit of 3400.0 W.,0,False,N/A,,3.6811,5.9136,9.5,0.83,0.415,0.5,High Wing / Conventional,,,,,,,3.4335
3073,DELIVERY,4.76,98.0,71.5,85.1,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (98.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.8836,2.6918,8.2,0.4377,0.2188,0.5,High Wing / Conventional,T-Motor AT4120,22x12 APC,,,,,2.8845
3074,SURVEY,1.0,-5.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range must be positive (got -5.0 km),0,False,N/A,,,,,,,,,,,,,,,0.1885
3075,SECURITY,0.79,56.4,29.8,166.1,CATAPULT,BELLY_LANDING,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.14 m) exceeds wing root chord (0.12 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.1467,1.5318,16.0,0.1219,0.0,0.0,High Wing / Twin Boom,,,,,,,2.9954
3076,TRAINING,2.97,89.2,56.3,97.4,CATAPULT,PARACHUTE,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (89.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.5513,2.406,10.5,0.3055,0.1528,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,,,,,3.0785
3077,INSPECTION,5.12,66.3,173.7,89.5,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.35 m) exceeds wing root chord (0.31 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.9504,3.8996,16.0,0.3103,0.0,0.0,High Wing / Conventional,,,,,,,4.3068
3078,RESEARCH,5.73,147.6,162.2,108.9,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (147.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,1.0637,3.1788,9.5,0.4462,0.2231,0.5,High Wing / Conventional,T-Motor AT4120,22x12 APC,,,,,4.5654
3079,AGRICULTURE,1.4,26.5,33.9,167.9,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.,0,False,N/A,3.897,0.2599,1.3961,7.5,0.1862,0.1862,1.0,Low Wing / Conventional,SunnySky X2216,16x8 APC,0.907 kg,0.198,SATISFIED,,979.1293
3080,DISASTER_RESPONSE,0.75,249.9,172.0,125.2,HAND_LAUNCH,PARACHUTE,MARINE,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (249.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.1392,1.2091,10.5,0.1535,0.0768,0.5,High Wing / Conventional,SunnySky X2216,13x8 APC,,,,,3.1058
3081,SURVEY,1.0,30.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Budget must be positive (got -500.0),0,False,N/A,,,,,,,,,,,,,,,0.2921
3082,RESEARCH,2.63,51.4,21.9,132.6,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,0,False,N/A,6.985,0.4882,2.1536,9.5,0.3023,0.1511,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,0.854 kg,0.672,SATISFIED,,3562.7324
3083,INSPECTION,40.14,30.0,45.0,85.0,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.98 m) exceeds wing root chord (0.87 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,7.4513,10.9188,16.0,0.8689,0.0,0.0,High Wing / Conventional,,,,,,,8.9951
3084,DISASTER_RESPONSE,0.72,135.3,177.8,64.3,CATAPULT,BELLY_LANDING,FOREST,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (135.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.1337,1.1846,10.5,0.1505,0.0752,0.5,High Wing / Conventional,SunnySky X2216,12x6 APC,,,,,3.232
3085,MILITARY,2.58,25.8,39.4,179.9,RUNWAY,BELLY_LANDING,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.25 m) exceeds wing root chord (0.22 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.4789,2.7682,16.0,0.2203,0.0,0.0,High Wing / Twin Boom,,,,,,,3.681
3086,DISASTER_RESPONSE,2.0,30.0,45.0,314.3,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PERFORMANCE_SIZING,INTERNAL_ERROR,Rate of climb (0.58 m/s) is below the minimum required rate of climb constraint (1.50 m/s).,0,False,N/A,7.024,0.3713,1.9744,10.5,0.2507,0.1254,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,2.888 kg,0.236,,,3.7518
3087,SECURITY,14.49,67.7,160.9,92.8,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.59 m) exceeds wing root chord (0.52 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,2.6898,6.5603,16.0,0.522,0.0,0.0,High Wing / Conventional,,,,,,,3.3136
3088,AGRICULTURE,0.62,269.7,91.0,109.5,CATAPULT,PARACHUTE,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (269.7 km) is physically inconsistent with cruise speed (109.5 km/h) and flight time (91.0 min). Max theoretical range is 166.1 km.,0,False,N/A,,,,,,,,,,,,,,,0.1906
3089,MILITARY,11.07,134.8,195.8,74.9,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.52 m) exceeds wing root chord (0.46 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,2.055,5.7341,16.0,0.4563,0.0,0.0,High Wing / Conventional,,,,,,,3.1446
3090,DISASTER_RESPONSE,41.98,30.0,45.0,85.0,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,PROPULSION_POWER_LIMIT: Sized power target of 11621.9 W exceeds maximum catalog motor power limit of 3400.0 W.,0,False,N/A,,7.7929,9.0457,10.5,1.1487,0.5743,0.5,High Wing / Conventional,,,,,,,3.9936
3091,SECURITY,3.9,67.5,69.8,88.7,RUNWAY,RUNWAY,MOUNTAIN,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.31 m) exceeds wing root chord (0.27 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.724,3.4035,16.0,0.2708,0.0,0.0,High Wing / Conventional,,,,,,,3.3549
3092,MAPPING,17.85,30.0,36.8,82.4,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,PROPULSION_POWER_LIMIT: Sized power target of 4941.7 W exceeds maximum catalog motor power limit of 3400.0 W.,0,False,N/A,,3.3136,5.8985,10.5,0.749,0.3745,0.5,High Wing / Conventional,,,,,,,3.3891
3093,MILITARY,14.84,44.3,56.0,65.7,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.60 m) exceeds wing root chord (0.53 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,2.7548,6.639,16.0,0.5283,0.0,0.0,High Wing / Conventional,,,,,,,3.2362
3094,MILITARY,1.51,90.0,79.8,78.1,RUNWAY,PARACHUTE,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.19 m) exceeds wing root chord (0.17 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.2803,2.1178,16.0,0.1685,0.0,0.0,High Wing / Twin Boom,,,,,,,3.055
3095,SECURITY,2.82,44.2,22.6,150.8,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.26 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.5235,2.8941,16.0,0.2303,0.0,0.0,High Wing / Conventional,,,,,,,3.6563
3096,SURVEY,1.0,30.0,-10.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Flight time target must be positive (got -10.0 minutes); Mission range (30.0 km) is physically inconsistent with cruise speed (80.0 km/h) and flight time (-10.0 min). Max theoretical range is -13.3 km.,0,False,N/A,,,,,,,,,,,,,,,0.1967
3097,RESEARCH,13.64,110.2,181.5,105.9,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (110.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,2.532,4.9045,9.5,0.6883,0.3442,0.5,High Wing / Conventional,KDE Direct 7215XF,22x12 APC,,,,,2.8237
3098,MILITARY,2.0,542.5,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (542.5 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.2093
3099,AGRICULTURE,3.69,49.4,59.5,86.8,CATAPULT,PARACHUTE,MOUNTAIN,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,7.520999999999999,0.685,2.2666,7.5,0.3022,0.3022,1.0,Low Wing / Conventional,T-Motor AT3520,22x12 APC,2.155 kg,0.18,SATISFIED,,3440.8274
3100,CUSTOM,2.79,180.4,70.0,193.6,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (180.40 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.5179,2.332,10.5,0.2961,0.1481,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,,,,,3.063
