case_id,mission_category,pipeline_status,verification_status,failure_reason,payload_kg,range_km,endurance_min,cruise_speed_kmh,wing_position,propulsion_layout,tail_configuration,landing_gear,configuration_name,initial_mtow_kg,final_mtow_kg,payload_mass_kg,battery_mass_kg,battery_fraction,structural_mass_kg,propulsion_mass_kg,avionics_mass_kg,empty_mass_kg,useful_load_kg,battery_energy_wh,specific_energy_whkg,usable_fraction,wing_area_m2,wingspan_m,aspect_ratio,root_chord_m,tip_chord_m,mac_m,taper_ratio,sweep_deg,dihedral_deg,wing_loading_kg_m2,selected_airfoil,CLmax,fuselage_length_m,fuselage_width_m,fuselage_height_m,fineness_ratio,horizontal_tail_area_m2,horizontal_tail_span_m,vertical_tail_area_m2,vertical_tail_height_m,tail_arm_m,selected_motor,selected_propeller,selected_esc,motor_count,required_cruise_thrust_n,required_max_thrust_n,required_cruise_power_w,maximum_power_w,propulsive_efficiency,flight_controller,gps,telemetry,servo information,battery configuration,cg_x_m,cg_percent_mac,neutral_point_x_m,neutral_point_percent_mac,static_margin_percent,stall_speed_kmh,cruise_speed_kmh,maximum_speed_kmh,rate_of_climb_mps,takeoff_distance_m,landing_distance_m,calculated_range_km,calculated_endurance_min,lift_to_drag_ratio,iteration_count,final_relative_mtow_delta,converged,requirement_compliance,constraint_compliance,stability_compliance,performance_compliance,safety_compliance,warnings_count,critical_failures_count,manual_review_priority,review_flags
FW-085,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (136.30 km).,4.62,136.3,285.4,101.7,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.8576,2.8544,9.5,0.4006,0.2003,0.3116,0.5,0.0,3.0,13.467,NACA 4412,1.498,2.141,0.296,0.362,7.23,0.078,0.592,0.0572,0.338,1.71,KDE Direct 7215XF,10x7 APC,,1,9.15,78.06,485.1,3400,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-086,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,0.97,132.2,254.1,94.8,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.1801,1.6974,16.0,0.1351,0.0,0.0901,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-087,SURVEY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (254.50 km).,1.02,254.5,335.7,111.2,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1893,1.41,10.5,0.179,0.0895,0.1392,0.5,0.0,3.0,13.467,Clark Y,1.292,1.057,0.159,0.194,6.65,0.0156,0.265,0.0126,0.159,0.85,SunnySky X2216,9x6 APC,,1,1.95,16.88,113.0,380,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-088,SECURITY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,3.9,225.1,316.8,80.2,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-089,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (226.00 km).,0.63,226.0,323.9,105.5,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.1169,1.054,9.5,0.1479,0.074,0.115,0.5,0.0,3.0,13.467,NACA 4412,1.308,0.79,0.109,0.134,7.25,0.0106,0.218,0.0078,0.125,0.63,SunnySky X2216,9x6 APC,,1,1.25,16.88,68.6,380,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-090,SECURITY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,1.01,289.4,296.6,77.7,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-091,SURVEY,INVALID_REQUIREMENTS,N/A,Mission processing failed: Stall speed target (45.0 km/h) must be less than cruise speed (40.0 km/h),1.0,20.0,30.0,40.0,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-092,DELIVERY,COMPONENT_SELECTION_FAILED,N/A,Propulsion component selection error at iteration 1: Takeoff thrust-to-weight ratio (0.24) is below minimum required constraint limit (0.30).; Selected motor maximum power (4101.4 W) is insufficient to sustain the power required during steady rate of climb (5669.6 W).,25.0,100.0,120.0,110.0,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,4.6408,6.1689,8.2,1.0031,0.5015,0.7802,0.5,0.0,3.0,13.467,Selig S1223,2.405,4.627,0.833,1.018,5.55,0.6359,1.595,0.3868,0.834,3.7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-093,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (150.00 km).,1.0,150.0,600.0,90.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.1856,1.328,9.5,0.1864,0.0932,0.145,0.5,0.0,3.0,13.467,NACA 4412,1.317,0.996,0.138,0.169,7.22,0.0169,0.276,0.0124,0.157,0.8,SunnySky X2216,9x6 APC,,1,1.98,16.88,92.9,380,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-094,SECURITY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,1.5,500.0,240.0,130.0,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-095,SECURITY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,2.0,120.0,60.0,180.0,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-096,DELIVERY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Calculated takeoff weight (26.02 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,10.0,50.0,60.0,70.0,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.8563,3.9015,8.2,0.6344,0.3172,0.4934,0.5,0.0,3.0,13.467,Selig S1223,2.016,2.926,0.527,0.644,5.55,0.2543,1.009,0.1547,0.528,2.34,DLE 35cc,20x10 APC,,1,20.79,115.44,758.6,3057.4,0.533,Cube Orange+,Dual GNSS,Microhard PMDDL2450,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-097,RESEARCH,SUCCESS,Verified,,3.0,60.0,90.0,95.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,7.5,19.685,3.0,7.441,0.378,8.299,0.685,0.26,9.244,10.441,1488.2,200.0,0.85,1.4451,3.7051,9.5,0.52,0.26,0.4045,0.5,0.0,3.0,13.467,NACA 4412,1.563,2.779,0.385,0.47,7.22,0.1315,0.769,0.0963,0.439,2.22,KDE Direct 7215XF,13x8 APC,,1,16.27,92.98,805.5,3400,0.533,Holybro Pixhawk 6C,Dual GNSS,Silvus StreamCaster Lite,,,1.087,23.96,1.16,42.0,18.1,42.8,95.0,172.6,8.22,36.41,7.0,142.49,90.0,11.71,15,0.008622,True,Compliant,Compliant,Compliant,Compliant,Failed,0,0,NORMAL,
FW-098,SURVEY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (150.00 km).,1.0,150.0,90.0,90.0,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1856,1.3961,10.5,0.1773,0.0886,0.1379,0.5,0.0,3.0,13.467,Clark Y,1.264,1.047,0.157,0.192,6.67,0.0153,0.262,0.0124,0.157,0.84,SunnySky X2216,9x6 APC,,1,1.91,16.88,89.7,380,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-099,DELIVERY,VERIFICATION_FAILED,N/A,Verification execution error: Design compliance score (84.0%) is below the minimum required safety compliance boundary (90.0%).,8.0,40.0,60.0,65.0,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,20.0,20.92,8.0,2.728,0.13,8.717,1.215,0.26,10.192,10.728,545.6,200.0,0.85,1.5536,3.5692,8.2,0.5804,0.2902,0.4514,0.5,0.0,3.0,13.467,Selig S1223,1.949,2.677,0.482,0.589,5.55,0.2128,0.923,0.1294,0.483,2.14,DLE 35cc,16x8 APC,,1,13.54,99.48,458.8,3057.4,0.533,Cube Orange+,Dual GNSS,RFDesign RFD900ux,,,0.882,-19.45,1.159,41.91,61.4,38.1,65.0,162.6,7.14,29.81,5.82,65.0,60.0,15.14,2,9.1e-05,True,,,,,,0,0,NORMAL,
FW-100,SURVEY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 7: Calculated takeoff weight (25.85 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,5.0,80.0,90.0,100.0,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,12.5,24.817,5.0,9.209,0.371,9.663,0.685,0.26,10.608,14.209,1841.8,200.0,0.85,1.8109,4.3606,10.5,0.5537,0.2769,0.4307,0.5,0.0,3.0,13.467,Clark Y,1.551,3.27,0.491,0.6,6.66,0.1491,0.819,0.1207,0.491,2.62,KDE Direct 7215XF,18x10 APC,,1,20.76,115.5,1082.0,3400,0.533,Holybro Pixhawk 6C,RTK GNSS,Silvus StreamCaster Lite,,,1.224,16.09,1.3,33.74,18.0,44.5,100.0,163.0,6.21,38.52,7.08,150.01,90.0,11.52,7,0.055596,False,,,,,,0,0,NORMAL,
