case_id,mission_category,pipeline_status,verification_status,failure_reason,payload_kg,range_km,endurance_min,cruise_speed_kmh,wing_position,propulsion_layout,tail_configuration,landing_gear,configuration_name,initial_mtow_kg,final_mtow_kg,payload_mass_kg,battery_mass_kg,battery_fraction,structural_mass_kg,propulsion_mass_kg,avionics_mass_kg,empty_mass_kg,useful_load_kg,battery_energy_wh,specific_energy_whkg,usable_fraction,wing_area_m2,wingspan_m,aspect_ratio,root_chord_m,tip_chord_m,mac_m,taper_ratio,sweep_deg,dihedral_deg,wing_loading_kg_m2,selected_airfoil,CLmax,fuselage_length_m,fuselage_width_m,fuselage_height_m,fineness_ratio,horizontal_tail_area_m2,horizontal_tail_span_m,vertical_tail_area_m2,vertical_tail_height_m,tail_arm_m,selected_motor,selected_propeller,selected_esc,motor_count,required_cruise_thrust_n,required_max_thrust_n,required_cruise_power_w,maximum_power_w,propulsive_efficiency,flight_controller,gps,telemetry,servo information,battery configuration,cg_x_m,cg_percent_mac,neutral_point_x_m,neutral_point_percent_mac,static_margin_percent,stall_speed_kmh,perf_cruise_speed_kmh,maximum_speed_kmh,rate_of_climb_mps,takeoff_distance_m,landing_distance_m,calculated_range_km,calculated_endurance_min,lift_to_drag_ratio,iteration_count,final_relative_mtow_delta,converged,requirement_compliance,constraint_compliance,stability_compliance,performance_compliance,safety_compliance,warnings_count,critical_failures_count,manual_review_priority,review_flags
FW-066,DELIVERY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (96.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,13.8,96.7,114.7,79.6,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.5617,3.65,5.2,0.936,0.468,0.728,0.5,0.0,3.0,13.47,Selig S1223,2.316,2.737,0.493,0.602,5.55,0.5534,1.488,0.2135,0.62,,DLE 55cc,22x12 APC,Generic ESC,1,32.41,118.42,1344.4,4101.4,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-067,DELIVERY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (112.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,12.58,112.9,132.2,94.5,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.3353,3.485,5.2,0.893,0.447,0.695,0.5,0.0,3.0,13.47,Selig S1223,2.405,2.614,0.47,0.575,5.56,0.5045,1.421,0.1946,0.592,,DLE 55cc,22x12 APC,Generic ESC,1,29.54,107.95,1454.9,4101.4,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-068,DELIVERY,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 1: Calculated takeoff weight (41.56 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,11.92,66.7,123.5,93.7,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.2127,3.392,5.2,0.87,0.435,0.676,0.5,0.0,3.0,13.47,Selig S1223,2.386,2.544,0.458,0.56,5.55,0.4781,1.383,0.1844,0.576,,DLE 55cc,20x10 APC,Generic ESC,1,27.99,102.28,1366.9,4101.4,0.65,Pixhawk 6C,GPS Module,Silvus StreamCaster Lite,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-069,DELIVERY,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 1: Calculated takeoff weight (33.88 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,10.5,72.2,106.3,85.3,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.9491,3.184,5.2,0.816,0.408,0.635,0.5,0.0,3.0,13.47,Selig S1223,2.267,2.388,0.43,0.525,5.55,0.4211,1.298,0.1624,0.541,,DLE 55cc,16x8 APC,Generic ESC,1,24.66,90.1,1096.1,4101.4,0.65,Pixhawk 6C,GPS Module,Silvus StreamCaster Lite,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-070,DELIVERY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (94.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,6.2,94.3,147.9,79.3,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.1509,2.446,5.2,0.627,0.314,0.488,0.5,0.0,3.0,13.47,Selig S1223,2.069,1.835,0.33,0.404,5.56,0.2486,0.997,0.0959,0.415,,DLE 20cc,16x8 APC,Generic ESC,1,14.56,53.2,601.7,1864.2,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-071,DELIVERY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (121.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,10.9,121.2,125.6,119.0,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.0234,3.244,5.2,0.832,0.416,0.647,0.5,0.0,3.0,13.47,Selig S1223,2.405,2.433,0.438,0.535,5.55,0.4372,1.322,0.1686,0.551,,DLE 55cc,18x10 APC,Generic ESC,1,25.6,93.53,1587.5,4101.4,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-072,DELIVERY,INVALID_REQUIREMENTS,N/A,Mission processing failed: Mission range (115.0 km) is physically inconsistent with cruise speed (72.3 km/h) and flight time (62.1 min). Max theoretical range is 74.8 km.,8.02,115.0,62.1,72.3,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,Generic ESC,1,,,,,,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,0,,False,,,,,,0,0,HIGH,
FW-073,DELIVERY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (134.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,6.26,134.2,111.3,113.6,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.1621,2.458,5.2,0.63,0.315,0.49,0.5,0.0,3.0,13.47,Selig S1223,2.287,1.844,0.332,0.406,5.55,0.251,1.002,0.0968,0.417,,DLE 35cc,10x7 APC,Generic ESC,1,14.7,53.72,870.3,3057.4,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-074,DELIVERY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (145.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,8.41,145.9,79.1,113.1,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.5612,2.849,5.2,0.731,0.365,0.568,0.5,0.0,3.0,13.47,Selig S1223,2.397,2.137,0.385,0.47,5.55,0.3372,1.161,0.1301,0.484,,DLE 35cc,16x8 APC,Generic ESC,1,19.75,72.16,1164.1,3057.4,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-075,DELIVERY,INVALID_REQUIREMENTS,N/A,Mission processing failed: Mission range (105.5 km) is physically inconsistent with cruise speed (77.5 km/h) and flight time (52.2 min). Max theoretical range is 67.4 km.,5.74,105.5,52.2,77.5,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,Generic ESC,1,,,,,,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,0,,False,,,,,,0,0,HIGH,
FW-076,DELIVERY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (97.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,7.48,97.0,101.2,99.8,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.3885,2.687,5.2,0.689,0.344,0.536,0.5,0.0,3.0,13.47,Selig S1223,2.258,2.015,0.363,0.443,5.55,0.3,1.095,0.1157,0.456,,DLE 35cc,13x8 APC,Generic ESC,1,17.57,64.18,913.6,3057.4,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-077,DELIVERY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (83.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,9.51,83.1,161.1,119.5,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.7654,3.03,5.2,0.777,0.388,0.604,0.5,0.0,3.0,13.47,Selig S1223,2.405,2.272,0.409,0.5,5.56,0.3814,1.235,0.1471,0.515,,DLE 55cc,14x10 APC,Generic ESC,1,22.33,81.6,1390.8,4101.4,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-078,DELIVERY,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 1: Calculated takeoff weight (56.02 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,14.6,41.9,148.0,101.3,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,2.7102,3.754,5.2,0.963,0.481,0.749,0.5,0.0,3.0,13.47,Selig S1223,2.405,2.816,0.507,0.619,5.55,0.5857,1.531,0.2259,0.638,,DLE 55cc,22x12 APC,Generic ESC,1,34.29,125.28,1810.1,4101.4,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-079,DELIVERY,STABILITY_INFEASIBLE,N/A,Verification execution error: Design compliance score (88.0%) is below the minimum required safety compliance boundary (90.0%).,6.74,39.0,45.4,92.5,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,16.85,20.172,6.74,3.56,0.176,8.397,1.215,0.26,9.872,10.3,712.0,200.0,0.85,1.4819,3.486,8.2,0.567,0.283,0.441,0.5,0.0,3.0,13.47,Selig S1223,2.096,2.614,0.471,0.575,5.55,0.203,0.901,0.1235,0.471,,DLE 35cc,15x10 APC,Generic ESC,1,16.49,68.5,794.8,3057.4,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,0.778,-38.38,1.132,41.91,80.4,37.0,92.5,165.2,7.24,27.15,5.47,70.0,45.4,11.83,6,0.008082,True,,,,,,1,0,HIGH,
FW-080,DELIVERY,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 1: Calculated takeoff weight (28.57 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,7.88,63.9,161.0,73.6,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.4628,2.758,5.2,0.707,0.354,0.55,0.5,0.0,3.0,13.47,Selig S1223,2.092,2.069,0.372,0.455,5.56,0.316,1.124,0.1219,0.468,,DLE 35cc,14x10 APC,Generic ESC,1,18.5,67.62,709.8,3057.4,0.65,Pixhawk 6C,GPS Module,Silvus StreamCaster Lite,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-081,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (232.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,3.31,232.2,348.1,91.3,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.6144,2.479,10.0,0.316,0.0,0.21,0.0,0.0,2.5,13.47,MH 32,1.156,1.859,0.223,0.273,8.34,0.0391,0.464,0.0358,0.299,,T-Motor AT3520,20x10 APC,Generic ESC,1,6.44,32.46,306.4,950,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-082,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (161.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.25,161.5,314.8,98.5,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.232,1.228,6.5,0.252,0.126,0.196,0.5,0.0,3.0,13.47,NACA 4412,1.377,0.921,0.128,0.156,7.2,0.0308,0.372,0.0155,0.176,,SunnySky X2216,12x6 APC,Generic ESC,1,2.78,10.73,142.7,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-083,SURVEY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (200.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,4.74,200.1,268.9,74.0,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.8799,2.569,7.5,0.457,0.228,0.355,0.5,0.0,3.0,13.47,Clark Y,1.394,1.927,0.289,0.353,6.67,0.1014,0.675,0.0587,0.343,,T-Motor AT4120,22x12 APC,Generic ESC,1,10.13,40.67,390.6,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-084,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (267.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,4.83,267.2,283.5,117.5,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.8966,2.994,10.0,0.381,0.0,0.254,0.0,0.0,2.5,13.47,MH 32,1.255,2.246,0.269,0.329,8.35,0.0571,0.56,0.0523,0.362,,T-Motor AT4120,22x12 APC,Generic ESC,1,9.4,41.45,575.5,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-085,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (136.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,4.62,136.3,285.4,101.7,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.8576,2.361,6.5,0.484,0.242,0.377,0.5,0.0,3.0,13.47,NACA 4412,1.562,1.771,0.245,0.3,7.23,0.114,0.716,0.0572,0.338,,T-Motor AT4120,22x12 APC,Generic ESC,1,10.27,56.63,544.5,1400,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-086,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (132.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0.97,132.2,254.1,94.8,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.1801,1.342,10.0,0.171,0.0,0.114,0.0,0.0,2.5,13.47,MH 32,1.078,1.006,0.121,0.148,8.31,0.0115,0.251,0.0105,0.162,,SunnySky X2216,11x7 APC,Generic ESC,1,1.89,8.32,93.2,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-087,SURVEY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (254.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.02,254.5,335.7,111.2,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1893,1.192,7.5,0.212,0.106,0.165,0.5,0.0,3.0,13.47,Clark Y,1.319,0.894,0.134,0.164,6.67,0.0218,0.313,0.0126,0.159,,SunnySky X2216,12x6 APC,Generic ESC,1,2.18,8.75,126.3,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-088,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (225.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,3.9,225.1,316.8,80.2,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.724,2.691,10.0,0.343,0.0,0.228,0.0,0.0,2.5,13.47,MH 32,1.148,2.018,0.242,0.296,8.34,0.0461,0.504,0.0422,0.325,,T-Motor AT3520,22x12 APC,Generic ESC,1,7.59,38.25,317.2,950,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-089,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (226.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0.63,226.0,323.9,105.5,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.1169,0.872,6.5,0.179,0.089,0.139,0.5,0.0,3.0,13.47,NACA 4412,1.332,0.654,0.093,0.111,7.03,0.0155,0.264,0.0078,0.125,,SunnySky X2216,11x7 APC,Generic ESC,1,1.4,7.72,77.0,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-090,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (289.40 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.01,289.4,296.6,77.7,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.1875,1.369,10.0,0.174,0.0,0.116,0.0,0.0,2.5,13.47,MH 32,1.061,1.027,0.123,0.151,8.35,0.0119,0.256,0.0109,0.165,,SunnySky X2216,11x7 APC,Generic ESC,1,1.97,8.67,79.6,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-091,SURVEY,INVALID_REQUIREMENTS,N/A,Mission processing failed: Stall speed target (45.0 km/h) must be less than cruise speed (40.0 km/h),1.0,20.0,30.0,40.0,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,Generic ESC,1,,,,,,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,0,,False,,,,,,0,0,HIGH,
FW-092,DELIVERY,PROPULSION_INFEASIBLE,N/A,Propulsion component selection error at iteration 1: Takeoff thrust-to-weight ratio (0.24) is below minimum required constraint limit (0.30).; Selected motor maximum power (4101.4 W) is insufficient to sustain the power required during steady rate of climb (5882.3 W).,25.0,100.0,120.0,110.0,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,4.6408,4.912,5.2,1.26,0.63,0.98,0.5,0.0,3.0,13.47,Selig S1223,2.405,3.684,0.663,0.811,5.56,1.0028,2.003,0.3868,0.834,,,,Generic ESC,1,,,,,,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-093,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (150.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.0,150.0,600.0,90.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.1856,1.099,6.5,0.225,0.113,0.175,0.5,0.0,3.0,13.47,NACA 4412,1.343,0.824,0.114,0.139,7.23,0.0247,0.333,0.0124,0.157,,SunnySky X2216,11x7 APC,Generic ESC,1,2.22,8.58,104.3,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-094,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (500.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.5,500.0,240.0,130.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.2784,1.669,10.0,0.212,0.0,0.142,0.0,0.0,2.5,13.47,MH 32,1.149,1.252,0.15,0.184,8.35,0.0177,0.312,0.0162,0.201,,SunnySky X2216,14x10 APC,Generic ESC,1,2.92,12.87,197.7,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-095,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (120.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,2.0,120.0,60.0,180.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.3713,1.927,10.0,0.245,0.0,0.164,0.0,0.0,2.5,13.47,MH 32,1.251,1.445,0.173,0.212,8.35,0.0236,0.36,0.0217,0.233,,T-Motor MN5008,16x8 APC,Generic ESC,1,3.89,17.16,365.1,700,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-096,DELIVERY,MTOW_LIMIT_EXCEEDED,N/A,Mass validation error at iteration 1: Calculated takeoff weight (26.12 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,10.0,50.0,60.0,70.0,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,,,,,,,,,,,,200.0,0.85,1.8563,3.107,5.2,0.797,0.398,0.62,0.5,0.0,3.0,13.47,Selig S1223,2.129,2.33,0.419,0.513,5.56,0.4011,1.267,0.1547,0.528,,DLE 35cc,20x10 APC,Generic ESC,1,23.48,85.81,856.7,3057.4,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-097,RESEARCH,SUCCESS,VERIFIED,,3.0,60.0,90.0,95.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,7.5,15.21,1.95,5.817,0.382,6.808,0.375,0.26,7.443,7.767,1163.4,200.0,0.85,1.1158,3.256,9.5,0.457,0.229,0.355,0.5,0.0,3.0,13.47,NACA 4412,1.518,2.442,0.338,0.413,7.22,0.1015,0.676,0.0744,0.386,,T-Motor AT4120,22x12 APC,Generic ESC,1,12.55,51.58,621.4,1400,0.65,Pixhawk 6C,GPS Module,Silvus StreamCaster Lite,4x Digital Servo,LiPo Pack,0.955,23.94,1.019,41.95,18.0,43.5,95.0,139.9,3.82,36.74,7.16,142.5,90.0,11.72,14,0.009164,True,Compliant,Compliant,Compliant,Compliant,Compliant,1,0,NORMAL,
FW-098,SURVEY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (150.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.0,150.0,90.0,90.0,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1856,1.18,7.5,0.21,0.105,0.163,0.5,0.0,3.0,13.47,Clark Y,1.285,0.885,0.133,0.162,6.65,0.0214,0.31,0.0124,0.157,,SunnySky X2216,12x6 APC,Generic ESC,1,2.14,12.26,100.2,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-099,DELIVERY,STABILITY_INFEASIBLE,N/A,Verification execution error: Design compliance score (88.0%) is below the minimum required safety compliance boundary (90.0%).,8.0,40.0,60.0,65.0,High Wing,Twin Tractor,Conventional,Tricycle,High Wing / Twin Tractor,20.0,20.92,8.0,2.728,0.13,8.717,1.215,0.26,10.192,10.728,545.6,200.0,0.85,1.5536,3.569,8.2,0.58,0.29,0.451,0.5,0.0,3.0,13.47,Selig S1223,1.949,2.677,0.482,0.589,5.55,0.2128,0.923,0.1294,0.483,,DLE 35cc,16x8 APC,Generic ESC,1,13.54,71.81,458.8,3057.4,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,0.738,-51.35,1.159,41.91,93.3,38.1,65.0,162.6,7.14,29.81,5.82,65.0,60.0,15.14,2,9.1e-05,True,,,,,,1,0,HIGH,
FW-100,SURVEY,SUCCESS,VERIFIED,,5.0,80.0,90.0,100.0,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,12.5,12.421,0.51,5.254,0.423,6.022,0.375,0.26,6.657,5.764,1050.8,200.0,0.85,0.9196,3.107,10.5,0.395,0.197,0.307,0.5,0.0,3.0,13.47,Clark Y,1.435,2.33,0.35,0.427,6.66,0.0757,0.584,0.0613,0.35,,T-Motor AT4120,22x12 APC,Generic ESC,1,10.81,42.51,563.6,1400,0.65,Pixhawk 6C,GPS Module,Silvus StreamCaster Lite,4x Digital Servo,LiPo Pack,0.897,24.21,0.952,42.13,17.9,44.5,100.0,149.3,4.83,32.39,7.5,150.0,90.0,10.94,3,0.002237,True,Compliant,Compliant,Compliant,Compliant,Compliant,1,0,NORMAL,
