case_id,mission_category,payload_kg,range_km,endurance_min,cruise_speed_kmh,final_status,failure_category,exact_failure_message,stage_failed,engine_failed,validator_failed,last_successful_stage,configuration_selected,wing_position,propulsion_layout,tail_configuration,landing_gear,mtow_at_failure_kg,wing_area_at_failure_m2,wingspan_at_failure_m,aspect_ratio_at_failure,airfoil_at_failure,required_thrust_n,available_thrust_n,required_power_w,available_power_w,required_range_km,available_communication_range_km,required_stall_margin,actual_stall_margin,static_margin_percent,convergence_delta,forensic_classification,forensic_confidence,root_cause,recommended_action
FW-078,DELIVERY,14.6,41.9,148.0,101.3,MTOW_LIMIT_EXCEEDED,MTOW_LIMIT_EXCEEDED,Calculated takeoff weight (53.51 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,Mass Sizing,MassPropertiesEngine,MassValidator,Payload Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,2.7102,4.714,8.2,Selig S1223,125.28,149.62,3311.0,4101.4,41.9,50.0,,,,,TRUE_MTOW_LIMIT,High,Calculated takeoff weight (53.51 kg) exceeds project-wide 25.0 kg maximum takeoff weight limit (EXTREME_EXCEEDANCE).,"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-079,DELIVERY,6.74,39.0,45.4,92.5,NON_CONVERGED,NON_CONVERGED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,None,None,None,None,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,18.598,1.2512,3.203,8.2,Selig S1223,57.84,77.49,1528.6,3057.4,39.0,40.0,1.35,2.372,89.3,,TRUE_PROPULSION_INFEASIBILITY,High,Propulsion optimizer failed to select a motor-propeller pair satisfying thrust and electrical constraints.,Expand propulsion catalog or relax minimum thrust-to-weight constraints.
FW-080,DELIVERY,7.88,63.9,161.0,73.6,MTOW_LIMIT_EXCEEDED,MTOW_LIMIT_EXCEEDED,Calculated takeoff weight (27.74 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,Mass Sizing,MassPropertiesEngine,MassValidator,Payload Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,1.4628,3.463,8.2,Selig S1223,67.62,91.01,1787.1,3057.4,63.9,80.0,,,,,TRUE_MTOW_LIMIT,High,Calculated takeoff weight (27.74 kg) exceeds project-wide 25.0 kg maximum takeoff weight limit (MODERATE_EXCEEDANCE).,"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-081,SECURITY,3.31,232.2,348.1,91.3,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.28 m) exceeds wing root chord (0.25 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.6144,3.135,16.0,Clark Y,,,,,232.2,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-082,RESEARCH,1.25,161.5,314.8,98.5,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.31 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.232,1.485,9.5,NACA 4412,,,,,161.5,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.31 kg..",Update component database records with missing classes.
FW-083,SURVEY,4.74,200.1,268.9,74.0,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (200.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Tricycle,,0.8799,3.04,10.5,Clark Y,40.67,73.08,1049.8,1400,200.1,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (200.1 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-084,SECURITY,4.83,267.2,283.5,117.5,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.34 m) exceeds wing root chord (0.30 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.8966,3.788,16.0,Clark Y,,,,,267.2,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-085,RESEARCH,4.62,136.3,285.4,101.7,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (136.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.8576,2.854,9.5,NACA 4412,56.63,73.08,1033.3,1400,136.3,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (136.3 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-086,SECURITY,0.97,132.2,254.1,94.8,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.15 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.1801,1.697,16.0,Clark Y,,,,,132.2,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-087,SURVEY,1.02,254.5,335.7,111.2,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (254.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Tricycle,,0.1893,1.41,10.5,Clark Y,8.75,23.73,225.8,380,254.5,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (254.5 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-088,SECURITY,3.9,225.1,316.8,80.2,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.31 m) exceeds wing root chord (0.27 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.724,3.404,16.0,Clark Y,,,,,225.1,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-089,RESEARCH,0.63,226.0,323.9,105.5,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 0.66 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.1169,1.054,9.5,NACA 4412,,,,,226.0,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 0.66 kg..",Update component database records with missing classes.
FW-090,SECURITY,1.01,289.4,296.6,77.7,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.16 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.1875,1.732,16.0,Clark Y,,,,,289.4,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-091,SURVEY,1.0,20.0,30.0,40.0,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Stall speed target (45.0 km/h) must be less than cruise speed (40.0 km/h),Input Validation,Pipeline Orchestrator,None,None,,,,,,,,,,,,,,,20.0,,,,,,TRUE_MISSION_INFEASIBILITY,High,Invalid mission inputs: Stall speed target (45.0 km/h) must be less than cruise speed (40.0 km/h).,"Reject mission at user interface stage or require consistent range, speed, and endurance input values."
FW-092,DELIVERY,25.0,100.0,120.0,110.0,PROPULSION_INFEASIBLE,PROPULSION_INFEASIBLE,Takeoff thrust-to-weight ratio (0.24) is below minimum required constraint limit (0.30).; Selected motor maximum power (4101.4 W) is insufficient to sustain the power required during steady rate of climb (5669.5 W).,Propulsion Sizing,PropulsionEngine,PropulsionValidator,Tail/Fuselage Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,4.6408,6.169,8.2,Selig S1223,,,,,100.0,,,,,,COMPONENT_CATALOG_LIMITATION,High,The required propulsion power (9343.9 W) exceeds the maximum capacity of any motor in the database (largest is KDE Direct 7215XF with 3400 W).,Expand propulsion catalog to include heavy-lift motors and larger propeller options.
FW-093,RESEARCH,1.0,150.0,600.0,90.0,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.05 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.1856,1.328,9.5,NACA 4412,,,,,150.0,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.05 kg..",Update component database records with missing classes.
FW-094,SECURITY,1.5,500.0,240.0,130.0,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.19 m) exceeds wing root chord (0.17 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.2784,2.111,16.0,Clark Y,,,,,500.0,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-095,SECURITY,2.0,120.0,60.0,180.0,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.22 m) exceeds wing root chord (0.19 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.3713,2.437,16.0,Clark Y,,,,,120.0,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-096,DELIVERY,10.0,50.0,60.0,70.0,MTOW_LIMIT_EXCEEDED,MTOW_LIMIT_EXCEEDED,Calculated takeoff weight (26.02 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,Mass Sizing,MassPropertiesEngine,MassValidator,Payload Sizing,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,,1.8563,3.901,8.2,Selig S1223,85.81,115.44,2267.8,3057.4,50.0,50.0,,,,,TRUE_MTOW_LIMIT,High,Calculated takeoff weight (26.02 kg) exceeds project-wide 25.0 kg maximum takeoff weight limit (NEAR_LIMIT).,"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-097,RESEARCH,3.0,60.0,90.0,95.0,NON_CONVERGED,NON_CONVERGED,Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.,None,None,None,None,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,9.427,0.5569,2.3,9.5,NACA 4412,25.74,46.04,671.0,700,60.0,80.0,1.3,1.896,35.3,,TRUE_MISSION_INFEASIBILITY,High,Pipeline convergence failed: Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: MassPropertiesOptimizer failed: MassPropertiesOptimizer failed: No feasible design candidates found.,"Review target range, payload, and speed bounds."
FW-098,SURVEY,1.0,150.0,90.0,90.0,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (150.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,,0.1856,1.396,10.5,Clark Y,12.26,23.73,221.4,380,150.0,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (150.0 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-099,DELIVERY,8.0,40.0,60.0,65.0,NON_CONVERGED,NON_CONVERGED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,None,None,None,None,Twin-Engine High-Wing Cargo Transport,High Wing,Twin Tractor,Conventional,Tricycle,21.23,1.4851,3.49,8.2,Selig S1223,68.65,95.29,1814.3,3057.4,40.0,40.0,1.35,1.65,90.8,,TRUE_PROPULSION_INFEASIBILITY,High,Propulsion optimizer failed to select a motor-propeller pair satisfying thrust and electrical constraints.,Expand propulsion catalog or relax minimum thrust-to-weight constraints.
FW-100,SURVEY,5.0,80.0,90.0,100.0,NON_CONVERGED,NON_CONVERGED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,None,None,None,None,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Tricycle,11.884,0.9282,3.122,10.5,Clark Y,42.91,73.08,1107.4,1400,80.0,80.0,1.2,2.309,18.0,,TRUE_PROPULSION_INFEASIBILITY,High,Propulsion optimizer failed to select a motor-propeller pair satisfying thrust and electrical constraints.,Expand propulsion catalog or relax minimum thrust-to-weight constraints.
